year,month,Price_Returns
2013,10,0.6026232114467399
2013,11,4.555081593174901
2013,12,-0.34729811778992
2014,1,0.09781121751025999
2014,2,-0.27978816199377
2014,3,-0.20930152084018
2014,4,-0.017505470459518994
2014,5,0.38184855233853005
2014,6,-0.00072528003868168
2014,7,-0.05483870967741901
2014,8,-0.18433447098976002
2014,9,-0.19940164860454002
2014,10,-0.10902344056236
2014,11,0.10268367795863999
2014,12,-0.15576125119694
2015,1,-0.27630749842470004
2015,2,0.10134958641707001
2015,3,-0.039765989406277
2015,4,-0.032068170591141004
2015,5,-0.013524433292221002
2015,6,0.13183875835309
2015,7,0.084752218794043
2015,8,-0.2047545473699
2015,9,0.05051441692056299
2015,10,0.38371653146147994
2015,11,0.10565006075333999
2015,12,0.17588878509808
2016,1,-0.11626168224299001
2016,2,0.14601840101523
2016,3,-0.048723095023877
2016,4,0.10624469504062
2016,5,0.15124079270430998
2016,6,0.21479577263639002
2016,7,0.026303001802649
2016,8,-0.11626166511385999
2016,9,0.047959765645253
2016,10,0.15113134111749
2016,11,0.049727793696275
2016,12,0.29949093092765006
2017,1,-0.032527096570918
2017,2,0.29263859672491
2017,3,-0.12836208246394
2017,4,0.28622524826584006
2017,5,0.67733371083739
2017,6,0.13630243117863
2017,7,0.07920916330661901
2017,8,0.67336578813516
2017,9,-0.087358921597584
2017,10,0.45600703584193
2017,11,0.61800390531628
2017,12,0.33769964456130996
2018,1,-0.22938938053693
2018,2,0.05693422581050401
2018,3,-0.3605902764314
2018,4,0.3562279287247
2018,5,-0.20878807135518
2018,6,-0.19994766698328
2018,7,0.37816184404783004
2018,8,-0.14865083918163
2018,9,-0.055128651269263
2018,10,-0.03679448287215
2018,11,-0.32422296673396
2018,12,-0.10105149182698
2019,1,-0.10731282881325999
2019,2,0.11978314238953
2019,3,0.07414947343695
2019,4,0.28811215997862
2019,5,0.6341267880081999
2019,6,0.42841724210376003
2019,7,-0.23217542739619002
2019,8,-0.0017660685398782
2019,9,-0.13280018556494
2019,10,0.14691185410334
2019,11,-0.21226287586064
2019,12,-0.0061418382451891
2020,1,0.25651423898090003
2020,2,-0.051196091299283
2020,3,-0.33156193496215997
2020,4,0.31942039721956
2020,5,0.21385440155151003
2020,6,-0.031668855652143994
2020,7,0.012123841546453
