Date,Value
2013-10-31,0.60262321144674
2013-11-30,4.5550815931749
2013-12-31,-0.34729811778992
2014-01-31,0.09781121751026
2014-02-28,-0.27978816199377
2014-03-31,-0.20930152084018
2014-04-30,-0.017505470459519
2014-05-31,0.38184855233853
2014-06-30,-0.00072528003868168
2014-07-31,-0.054838709677419
2014-08-31,-0.18433447098976
2014-09-30,-0.19940164860454
2014-10-31,-0.10902344056236
2014-11-30,0.10268367795864
2014-12-31,-0.15576125119694
2015-01-31,-0.2763074984247
2015-02-28,0.10134958641707
2015-03-31,-0.039765989406277
2015-04-30,-0.032068170591141
2015-05-31,-0.013524433292221
2015-06-30,0.13183875835309
2015-07-31,0.084752218794043
2015-08-31,-0.2047545473699
2015-09-30,0.050514416920563
2015-10-31,0.38371653146148
2015-11-30,0.10565006075334
2015-12-31,0.17588878509808
2016-01-31,-0.11626168224299
2016-02-29,0.14601840101523
2016-03-31,-0.048723095023877
2016-04-30,0.10624469504062
2016-05-31,0.15124079270431
2016-06-30,0.21479577263639
2016-07-31,0.026303001802649
2016-08-31,-0.11626166511386
2016-09-30,0.047959765645253
2016-10-31,0.15113134111749
2016-11-30,0.049727793696275
2016-12-31,0.29949093092765
2017-01-31,-0.032527096570918
2017-02-28,0.29263859672491
2017-03-31,-0.12836208246394
2017-04-30,0.28622524826584
2017-05-31,0.67733371083739
2017-06-30,0.13630243117863
2017-07-31,0.079209163306619
2017-08-31,0.67336578813516
2017-09-30,-0.087358921597584
2017-10-31,0.45600703584193
2017-11-30,0.61800390531628
2017-12-31,0.33769964456131
2018-01-31,-0.22938938053693
2018-02-28,0.056934225810504
2018-03-31,-0.3605902764314
2018-04-30,0.3562279287247
2018-05-31,-0.20878807135518
2018-06-30,-0.19994766698328
2018-07-31,0.37816184404783
2018-08-31,-0.14865083918163
2018-09-30,-0.055128651269263
2018-10-31,-0.03679448287215
2018-11-30,-0.32422296673396
2018-12-31,-0.10105149182698
2019-01-31,-0.10731282881326
2019-02-28,0.11978314238953
2019-03-31,0.07414947343695
2019-04-30,0.28811215997862
2019-05-31,0.6341267880082
2019-06-30,0.42841724210376
2019-07-31,-0.23217542739619
2019-08-31,-0.0017660685398782
2019-09-30,-0.13280018556494
2019-10-31,0.14691185410334
2019-11-30,-0.21226287586064
2019-12-31,-0.0061418382451891
2020-01-31,0.2565142389809
2020-02-29,-0.051196091299283
2020-03-31,-0.33156193496216
2020-04-30,0.31942039721956
2020-05-31,0.21385440155151
2020-06-30,-0.031668855652144
2020-07-31,0.012123841546453
